--- Results (624 samples) ---
[28788, 1]
[49344, 0]
[3317, 1]
[1632, 0]
[401, 1]
[1220, 0]
[409, 1]
[361, 0]
[403, 1]
[402, 0]
[400, 1]
[397, 0]
[407, 1]
[387, 0]
[417, 1]
[387, 0]
[397, 1]
[390, 0]
[418, 1]
[385, 0]
[417, 1]
[379, 0]
[416, 1]
[385, 0]
[405, 1]
[358, 0]
[401, 1]
[403, 0]
[403, 1]
[1227, 0]
[408, 1]
[388, 0]
[402, 1]
[387, 0]
[402, 1]
[401, 0]
[402, 1]
[386, 0]
[413, 1]
[388, 0]
[414, 1]
[387, 0]
[404, 1]
[385, 0]
[417, 1]
[386, 0]
[400, 1]
[400, 0]
[401, 1]
[401, 0]
[407, 1]
[386, 0]
[419, 1]
[386, 0]
[402, 1]
[386, 0]
[402, 1]
[397, 0]
[407, 1]
[386, 0]
[416, 1]
[389, 0]
[403, 1]
[385, 0]
[403, 1]
[1227, 0]
[403, 1]
[387, 0]
[417, 1]
[1216, 0]
[415, 1]
[1223, 0]
[415, 1]
[1225, 0]
[400, 1]
[1200, 0]
[391, 1]
[1208, 0]
[403, 1]
[1231, 0]
[418, 1]
[393, 0]
[403, 1]
[1233, 0]
[401, 1]
[1237, 0]
[405, 1]
[1210, 0]
[404, 1]
[1220, 0]
[401, 1]
[1257, 0]
[387, 1]
[1249, 0]
[374, 1]
[1266, 0]
[379, 1]
[1234, 0]
[403, 1]
[1244, 0]
[388, 1]
[392, 0]
[404, 1]
[419, 0]
[371, 1]
[418, 0]
[386, 1]
[423, 0]
[374, 1]
[416, 0]
[386, 1]
[410, 0]
[388, 1]
[404, 0]
[385, 1]
[439, 0]
[375, 1]
[419, 0]
[371, 1]
[419, 0]
[380, 1]
[1254, 0]
[373, 1]
[1263, 0]
[372, 1]
[422, 0]
[394, 1]
[404, 0]
[380, 1]
[1253, 0]
[388, 1]
[1253, 0]
[374, 1]
[1248, 0]
[385, 1]
[1256, 0]
[372, 1]
[426, 0]
[372, 1]
[402, 0]
[386, 1]
[1252, 0]
[386, 1]
[1249, 0]
[371, 1]
[416, 0]
[387, 1]
[416, 0]
[383, 1]
[419, 0]
[371, 1]
[1251, 0]
[387, 1]
[417, 0]
[386, 1]
[418, 0]
[372, 1]
[1268, 0]
