[28779, 1]
[49233, 0]
[3178, 1]
[1515, 0]
[206, 1]
[1135, 0]
[181, 1]
[266, 0]
[133, 1]
[100, 0]
[161, 1]
[282, 0]
[202, 1]
[226, 0]
[257, 1]
[227, 0]
[269, 1]
[289, 0]
[229, 1]
[287, 0]
[307, 1]
[207, 0]
[311, 1]
[297, 0]
[295, 1]
[130, 0]
[272, 1]
[306, 0]
[134, 1]
[1097, 0]
[186, 1]
[274, 0]
[293, 1]
[204, 0]
[129, 1]
[230, 0]
[246, 1]
[192, 0]
[299, 1]
[272, 0]
[198, 1]
[257, 0]
[257, 1]
[287, 0]
[308, 1]
[23, 0]
[275, 1]
[192, 0]
[291, 1]
[239, 0]
[236, 1]
[287, 0]
[91, 1]
[287, 0]
[280, 1]
[176, 0]
[329, 1]
[205, 0]
[300, 1]
[262, 0]
[181, 1]
[252, 0]
[256, 1]
[211, 0]
[282, 1]
[1104, 0]
[209, 1]
[272, 0]
[138, 1]
[1070, 0]
[1004, 0]
[96, 1]
[1119, 0]
[179, 1]
[1122, 0]
[268, 1]
[1207, 0]
[171, 1]
[1116, 0]
[200, 1]
[294, 0]
[290, 1]
[968, 0]
[221, 1]
[974, 0]
[173, 1]
[1161, 0]
[287, 1]
[1132, 0]
[51, 1]
[1161, 0]
[164, 1]
[1146, 0]
[221, 1]
[1145, 0]
[190, 1]
[1062, 0]
[166, 1]
[1166, 0]
[210, 1]
[299, 0]
[301, 1]
[205, 0]
[239, 1]
[244, 0]
[256, 1]
[332, 0]
[160, 1]
[237, 0]
[254, 1]
[205, 0]
[251, 1]
[324, 0]
[199, 1]
[257, 0]
[289, 1]
[197, 0]
[157, 1]
[245, 0]
[166, 1]
[1191, 0]
[113, 1]
[1188, 0]
[159, 1]
[316, 0]
[301, 1]
[192, 0]
[194, 1]
[1079, 0]
[116, 1]
[1100, 0]
[112, 1]
[1155, 0]
[210, 1]
[1149, 0]
[133, 1]
[275, 0]
[222, 1]
[177, 0]
[213, 1]
[1047, 0]
[196, 1]
[1175, 0]
[168, 1]
[304, 0]
[260, 1]
[255, 0]
[281, 1]
[185, 0]
[240, 1]
[1079, 0]
[254, 0]
[271, 1]
[266, 0]
[205, 1]
[1052, 0]
[129, 1]
[334, 0]
[208, 1]
[109, 0]
[261, 1]
[1076, 0]
[174, 1]
[1144, 0]
[205, 1]
[313, 0]
[245, 1]
[1106, 0]
[1086, 0]
[128, 1]
[318, 0]
[205, 1]
[1141, 0]
[144, 1]
[1155, 0]
[244, 1]
[374, 0]
[357, 1]
[1167, 0]
[68, 1]
[1124, 0]
[37, 1]
[303, 0]
[262, 1]
[100, 0]
[225, 1]
[1157, 0]
[172, 1]
[312, 0]
[233, 1]
[242, 0]
[272, 1]
[196, 0]
[161, 1]
[293, 0]
[278, 1]
[329, 0]
[356, 1]
[1219, 0]
[37, 1]
[1136, 0]
[146, 1]
[321, 0]
[238, 1]
[1003, 0]
[110, 1]
[1173, 0]
[200, 1]
[1159, 0]
[121, 1]
[299, 0]
[256, 1]
[193, 0]
[117, 1]
[1038, 0]
[143, 1]
[1130, 0]
[195, 1]
[1123, 0]
[143, 1]
[299, 0]
[281, 1]
[958, 0]
[215, 1]
[215, 0]
[240, 1]
[1125, 0]
[186, 1]
[1056, 0]
[70, 1]
[296, 0]
[242, 1]
[220, 0]
[249, 1]
[302, 0]
[206, 1]
[1128, 0]
[174, 1]
[291, 0]
[269, 1]
[1170, 0]
[300, 1]
[369, 0]
[85, 1]
[266, 0]
[286, 1]
[246, 0]
[282, 1]
[283, 0]
[84, 1]
[190, 0]
[244, 1]
[196, 0]
[164, 1]
[258, 0]
[115, 1]
[69, 0]
[273, 1]
[1057, 0]
[204, 1]
[1168, 0]
[159, 1]
[1137, 0]
[234, 1]
[1048, 0]
[220, 1]
[1143, 0]
[160, 1]
[1149, 0]
[51, 1]
[1106, 0]
[149, 1]
[1154, 0]
[150, 1]
[260, 0]
[246, 1]
[191, 0]
[196, 1]
[206, 0]
[104, 1]
[268, 0]
[288, 1]
[208, 0]
[159, 1]
[221, 0]
[161, 1]
[290, 0]
[209, 1]
[260, 0]
[21, 1]
[989, 0]
[172, 1]
[1137, 0]
[145, 1]
[1133, 0]
[340, 1]
[640, 0]
[218, 1]
[1151, 0]
[134, 1]
[1162, 0]
[1239, 0]
[174, 1]
[1343, 0]
[34, 1]
[246, 0]
[194, 1]
[193, 0]
[133, 1]
[120, 0]
[211, 1]
[336, 0]
[188, 1]
[235, 0]
[430, 0]
[129, 1]
[221, 0]
[164, 1]
[222, 0]
[198, 1]
[970, 0]
[180, 1]
[1176, 0]
[98, 1]
[1063, 0]
[168, 1]
[1050, 0]
[170, 1]
[1172, 0]
[190, 1]
[1140, 0]
[177, 1]
[1107, 0]
[154, 1]
[1167, 0]
[158, 1]
[322, 0]
[178, 1]
[149, 0]
[130, 1]
[327, 0]
[211, 1]
[211, 0]
[165, 1]
[22, 0]
[115, 1]
[340, 0]
[187, 1]
[349, 0]
[150, 1]
[142, 0]
[173, 1]
[1120, 0]
[140, 1]
[1202, 0]
[185, 1]
[1118, 0]
[113, 1]
[1199, 0]
[22, 1]
[1192, 0]
[212, 1]
[1094, 0]
[117, 1]
[1204, 0]
[1276, 0]
[162, 1]
[267, 0]
[148, 1]
[241, 0]
[95, 1]
[306, 0]
[199, 1]
[287, 0]
[512, 0]
[83, 1]
[331, 0]
[221, 1]
[240, 0]
[177, 1]
[410, 0]
[285, 1]
[1338, 0]
[37, 1]
[1166, 0]
[178, 1]
[1088, 0]
