--- Results (590 samples) ---
[28719, 1]
[49357, 0]
[3335, 1]
[1622, 0]
[408, 1]
[1216, 0]
[409, 1]
[375, 0]
[399, 1]
[397, 0]
[396, 1]
[414, 0]
[402, 1]
[384, 0]
[399, 1]
[397, 0]
[450, 1]
[340, 0]
[413, 1]
[398, 0]
[412, 1]
[369, 0]
[415, 1]
[383, 0]
[413, 1]
[350, 0]
[414, 1]
[401, 0]
[397, 1]
[1236, 0]
[399, 1]
[400, 0]
[398, 1]
[383, 0]
[412, 1]
[397, 0]
[397, 1]
[400, 0]
[386, 1]
[399, 0]
[407, 1]
[383, 0]
[413, 1]
[382, 0]
[415, 1]
[386, 0]
[412, 1]
[383, 0]
[412, 1]
[397, 0]
[397, 1]
[398, 0]
[412, 1]
[385, 0]
[399, 1]
[392, 0]
[413, 1]
[380, 0]
[408, 1]
[398, 0]
[397, 1]
[398, 0]
[413, 1]
[383, 0]
[412, 1]
[1224, 0]
[413, 1]
[380, 0]
[412, 1]
[1234, 0]
[398, 1]
[1241, 0]
[423, 1]
[1209, 0]
[401, 1]
[1195, 0]
[419, 1]
[1203, 0]
[412, 1]
[1251, 0]
[379, 1]
[390, 0]
[412, 1]
[1262, 0]
[382, 1]
[1247, 0]
[391, 1]
[1243, 0]
[375, 1]
[1239, 0]
[385, 1]
[1254, 0]
[383, 1]
[1253, 0]
[382, 1]
[1254, 0]
[370, 1]
[1271, 0]
[371, 1]
[1265, 0]
[367, 1]
[416, 0]
[382, 1]
[413, 0]
[384, 1]
[414, 0]
[379, 1]
[417, 0]
[383, 1]
[413, 0]
[384, 1]
[420, 0]
[385, 1]
[413, 0]
[386, 1]
[414, 0]
[384, 1]
[413, 0]
[382, 1]
[418, 0]
[377, 1]
[1253, 0]
[382, 1]
[1249, 0]
[382, 1]
[412, 0]
[383, 1]
[436, 0]
[381, 1]
[1239, 0]
[384, 1]
[1252, 0]
[385, 1]
[1239, 0]
[382, 1]
[1269, 0]
[367, 1]
[420, 0]
[383, 1]
[398, 0]
[383, 1]
[1255, 0]
[381, 1]
[1254, 0]
[384, 1]
[414, 0]
[387, 1]
[416, 0]
[385, 1]
[396, 0]
[384, 1]
[1260, 0]
[386, 1]
[413, 0]
[383, 1]
[413, 0]
[377, 1]
[1262, 0]
[368, 1]
[434, 0]
[368, 1]
[430, 0]
[385, 1]
[1253, 0]
[385, 1]
[1242, 0]
[383, 1]
[416, 0]
[384, 1]
[1251, 0]
[369, 1]
[1266, 0]
[381, 1]
[400, 0]
[383, 1]
[1265, 0]
[376, 1]
[1255, 0]
[385, 1]
[412, 0]
[384, 1]
[1252, 0]
[378, 1]
[1254, 0]
[383, 1]
[428, 0]
[368, 1]
[400, 0]
[383, 1]
[1259, 0]
[368, 1]
[428, 0]
[382, 1]
[415, 0]
[385, 1]
[415, 0]
[389, 1]
[409, 0]
[384, 1]
[413, 0]
[383, 1]
[1250, 0]
[376, 1]
[1249, 0]
[385, 1]
[414, 0]
[385, 1]
[1254, 0]
[383, 1]
[1245, 0]
[387, 1]
[1255, 0]
[382, 1]
[414, 0]
[382, 1]
[393, 0]
[385, 1]
[1250, 0]
[382, 1]
[1264, 0]
[383, 1]
[1242, 0]
[382, 1]
[430, 0]
[369, 1]
[1262, 0]
[367, 1]
[417, 0]
[384, 1]
[1242, 0]
[385, 1]
[1242, 0]
[375, 1]
[413, 0]
[382, 1]
[428, 0]
[386, 1]
[415, 0]
[385, 1]
[1250, 0]
[363, 1]
[416, 0]
[386, 1]
[1246, 0]
[382, 1]
[414, 0]
[382, 1]
[423, 0]
[371, 1]
[414, 0]
[383, 1]
[413, 0]
[378, 1]
[428, 0]
[384, 1]
[412, 0]
[382, 1]
[421, 0]
[385, 1]
[415, 0]
[385, 1]
[1250, 0]
[384, 1]
[1248, 0]
[368, 1]
[1261, 0]
[353, 1]
[1265, 0]
[368, 1]
[1254, 0]
[383, 1]
[1247, 0]
[384, 1]
[1257, 0]
[353, 1]
[1265, 0]
[384, 1]
[413, 0]
[400, 1]
[391, 0]
[388, 1]
[416, 0]
[369, 1]
[414, 0]
[384, 1]
[414, 0]
[368, 1]
[447, 0]
[353, 1]
[356, 0]
[352, 1]
[449, 0]
[354, 1]
[1271, 0]
[369, 1]
[1276, 0]
[353, 1]
[1284, 0]
[355, 1]
[1283, 0]
[325, 1]
[1286, 0]
[354, 1]
[1287, 0]
[352, 1]
[1274, 0]
[354, 1]
[1298, 0]
[355, 1]
[426, 0]
[358, 1]
[440, 0]
[354, 1]
[443, 0]
[350, 1]
[442, 0]
[367, 1]
[441, 0]
[346, 1]
[447, 0]
[359, 1]
[445, 0]
[352, 1]
[449, 0]
[355, 1]
[1291, 0]
[338, 1]
[1296, 0]
[341, 1]
[1301, 0]
[310, 1]
[1306, 0]
[320, 1]
[1313, 0]
[322, 1]
[1284, 0]
[352, 1]
[1308, 0]
[323, 1]
[1312, 0]
[329, 1]
[462, 0]
[333, 1]
[438, 0]
[324, 1]
[479, 0]
[414, 1]
[387, 0]
[326, 1]
[458, 0]
[340, 1]
[465, 0]
[332, 1]
[450, 0]
[320, 1]
[457, 0]
[305, 1]
[1277, 0]
[320, 1]
[1300, 0]
[320, 1]
[1282, 0]
[322, 1]
[1273, 0]
[315, 1]
[1289, 0]
[318, 1]
[1306, 0]
[296, 1]
[1310, 0]
[295, 1]
[1314, 0]
[293, 1]
[470, 0]
[324, 1]
[453, 0]
[297, 1]
[451, 0]
[476, 1]
[296, 0]
[319, 1]
[448, 0]
[318, 1]
[448, 0]
[330, 1]
[458, 0]
[323, 1]
[446, 0]
[322, 1]
[1319, 0]
[271, 1]
[1318, 0]
[297, 1]
[1291, 0]
[271, 1]
[1290, 0]
[314, 1]
[1286, 0]
[320, 1]
[1297, 0]
[330, 1]
[1258, 0]
[312, 1]
[1283, 0]
[318, 1]
[1293, 0]
[322, 1]
[1294, 0]
[321, 1]
[450, 0]
[321, 1]
[432, 0]
[322, 1]
[449, 0]
[319, 1]
[1290, 0]
[458, 1]
[321, 0]
[295, 1]
[484, 0]
[296, 1]
[450, 0]
[319, 1]
[486, 0]
[296, 1]
[1292, 0]
[320, 1]
[1285, 0]
[818, 0]
[298, 1]
[451, 0]
[324, 1]
[1299, 0]
[297, 1]
[1317, 0]
[473, 1]
[272, 0]
[273, 1]
[476, 0]
[288, 1]
[484, 0]
[292, 1]
[477, 0]
[271, 1]
[1301, 0]
[297, 1]
[1321, 0]
[288, 1]
[1332, 0]
[270, 1]
[1333, 0]
[270, 1]
[1318, 0]
[287, 1]
[1307, 0]
[296, 1]
[1316, 0]
[267, 1]
[1300, 0]
[300, 1]
[475, 0]
[294, 1]
[475, 0]
[289, 1]
[486, 0]
[433, 1]
[321, 0]
[300, 1]
[461, 0]
[299, 1]
[463, 0]
[270, 1]
[498, 0]
[290, 1]
[590, 0]
[162, 1]
[487, 0]
[280, 1]
[465, 0]
[488, 1]
[301, 0]
[289, 1]
[479, 0]
[296, 1]
[1315, 0]
[260, 1]
[1332, 0]
[292, 1]
[1309, 0]
[294, 1]
[1343, 0]
[268, 1]
[1310, 0]
[288, 1]
[1340, 0]
[267, 1]
[1324, 0]
[292, 1]
[1311, 0]
[279, 1]
[498, 0]
[297, 1]
[500, 0]
[271, 1]
[498, 0]
[266, 1]
[496, 0]
[266, 1]
[500, 0]
[491, 1]
[272, 0]
[279, 1]
[518, 0]
[277, 1]
[533, 0]
[258, 1]
[1369, 0]
[285, 1]
[1354, 0]
[268, 1]
[1353, 0]
[244, 1]
[1362, 0]
[262, 1]
[1367, 0]
[276, 1]
[1365, 0]
[273, 1]
[1353, 0]
[276, 1]
[1371, 0]
[277, 1]
[521, 0]
[264, 1]
[540, 0]
[258, 1]
[564, 0]
[255, 1]
[504, 0]
[277, 1]
[528, 0]
[279, 1]
[522, 0]
[246, 1]
[561, 0]
[247, 1]
[1394, 0]
[248, 1]
[1375, 0]
[261, 1]
[1382, 0]
[250, 1]
[1380, 0]
[245, 1]
[1387, 0]
[261, 1]
[1383, 0]
[246, 1]
[1389, 0]
[244, 1]
[1397, 0]
[248, 1]
[552, 0]
[248, 1]
[1413, 0]
[222, 1]
[1409, 0]
[213, 1]
[597, 0]
[205, 1]
[582, 0]
[225, 1]
[563, 0]
[231, 1]
[577, 0]
[212, 1]
[613, 0]
[267, 1]
[534, 0]
[180, 1]
[605, 0]
[194, 1]
[642, 0]
[143, 1]
[1450, 0]
[156, 1]
[4822, 0]
[132, 1]
[1500, 0]
[68, 1]
state skip detected, index: 428
