[28536, 1]
[49172, 0]
[3188, 1]
[1424, 0]
[247, 1]
[1129, 0]
[294, 1]
[318, 0]
[387, 1]
[327, 0]
[331, 1]
[318, 0]
[135, 1]
[314, 0]
[310, 1]
[275, 0]
[344, 1]
[363, 0]
[192, 1]
[279, 0]
[246, 1]
[318, 0]
[375, 1]
[361, 0]
[198, 1]
[276, 0]
[337, 1]
[305, 0]
[337, 1]
[1130, 0]
[88, 1]
[257, 0]
[341, 1]
[117, 0]
[254, 1]
[276, 0]
[263, 1]
[184, 0]
[262, 1]
[244, 0]
[298, 1]
[161, 0]
[303, 1]
[268, 0]
[287, 1]
[117, 0]
[140, 1]
[126, 0]
[234, 1]
[202, 0]
[215, 1]
[290, 0]
[177, 1]
[193, 0]
[316, 1]
[344, 0]
[378, 1]
[208, 0]
[258, 1]
[302, 0]
[221, 1]
[145, 0]
[283, 1]
[198, 0]
[296, 1]
[1063, 0]
[99, 1]
[227, 0]
[308, 1]
[881, 0]
[203, 1]
[1112, 0]
[199, 1]
[1081, 0]
[144, 1]
[1053, 0]
[228, 1]
[1100, 0]
[228, 1]
[1143, 0]
[214, 1]
[179, 0]
[249, 1]
[1055, 0]
[130, 1]
[1118, 0]
[284, 1]
[1015, 0]
[156, 1]
[1087, 0]
[120, 1]
[1136, 0]
[214, 1]
[1109, 0]
[189, 1]
[1128, 0]
[84, 1]
[1141, 0]
[191, 1]
[1149, 0]
[199, 1]
[176, 0]
[194, 1]
[213, 0]
[125, 1]
[250, 0]
[227, 1]
[182, 0]
[92, 0]
[135, 1]
[308, 0]
[226, 1]
[330, 0]
[69, 1]
[255, 0]
[203, 1]
[309, 0]
[195, 1]
[159, 0]
[190, 1]
[1083, 0]
[114, 1]
[1143, 0]
[180, 1]
[211, 0]
[260, 1]
[24, 0]
[209, 1]
[1090, 0]
[53, 1]
[1087, 0]
[179, 1]
[1127, 0]
[84, 1]
[1131, 0]
[151, 1]
[319, 0]
[288, 1]
[205, 0]
[275, 1]
[1062, 0]
[185, 1]
[998, 0]
[200, 1]
[218, 0]
[267, 1]
[341, 0]
[336, 1]
[199, 0]
[214, 1]
[1039, 0]
[226, 1]
[335, 0]
[241, 1]
[96, 0]
[227, 1]
[1069, 0]
[122, 1]
[318, 0]
[161, 1]
[275, 0]
[193, 1]
[1127, 0]
[150, 1]
[1099, 0]
[97, 1]
[338, 0]
[243, 1]
[1154, 0]
[180, 1]
[1074, 0]
[95, 1]
[248, 0]
[217, 1]
[1131, 0]
[164, 1]
[1184, 0]
[176, 1]
[180, 0]
[224, 1]
[1149, 0]
[130, 1]
[1152, 0]
[195, 1]
[306, 0]
[268, 1]
[194, 0]
[253, 1]
[1106, 0]
[418, 0]
[91, 1]
[300, 0]
[169, 1]
[289, 0]
[358, 1]
[120, 0]
[290, 1]
[282, 0]
[220, 1]
[1037, 0]
[130, 1]
[1168, 0]
[183, 1]
[182, 0]
[260, 1]
[1038, 0]
[39, 1]
[1132, 0]
[156, 1]
[1045, 0]
[176, 1]
[305, 0]
[255, 1]
[248, 0]
[245, 1]
[1143, 0]
[108, 1]
[1117, 0]
[56, 1]
[1119, 0]
[131, 1]
[315, 0]
[145, 1]
[1040, 0]
[184, 1]
[197, 0]
[217, 1]
[1124, 0]
[75, 1]
[1142, 0]
[208, 1]
[195, 0]
[289, 1]
[260, 0]
[181, 1]
[257, 0]
[272, 1]
[1131, 0]
[181, 1]
[290, 0]
[259, 1]
[1123, 0]
[151, 1]
[246, 0]
[231, 1]
[161, 0]
[259, 1]
[236, 0]
[195, 1]
[284, 0]
[164, 1]
[237, 0]
[239, 1]
[248, 0]
[246, 1]
[232, 0]
[260, 1]
[328, 0]
[177, 1]
[1106, 0]
[80, 1]
[1149, 0]
[176, 1]
[1074, 0]
[147, 1]
[1076, 0]
[166, 1]
[1166, 0]
[258, 1]
[1050, 0]
[163, 1]
[1138, 0]
[70, 1]
[1159, 0]
[256, 1]
[244, 0]
[259, 1]
[271, 0]
[112, 1]
[294, 0]
[256, 1]
[263, 0]
[284, 1]
[186, 0]
[213, 1]
[309, 0]
[234, 1]
[117, 0]
[206, 1]
[293, 0]
[168, 1]
[930, 0]
[167, 1]
[1157, 0]
[207, 1]
[1072, 0]
[115, 1]
[985, 0]
[175, 1]
[1138, 0]
[166, 1]
[1072, 0]
[212, 1]
[1121, 0]
[132, 1]
[1042, 0]
[62, 1]
[266, 0]
[219, 1]
[197, 0]
[360, 1]
[373, 1]
[132, 0]
[306, 1]
[372, 0]
[281, 1]
[348, 0]
[325, 1]
[388, 0]
[115, 1]
[240, 0]
[248, 1]
[1207, 0]
[271, 1]
[1028, 0]
[135, 1]
[1191, 0]
[203, 1]
[1217, 0]
[129, 1]
[1021, 0]
[191, 1]
[1166, 0]
[161, 1]
[1068, 0]
[55, 1]
[1129, 0]
[129, 1]
[341, 0]
[219, 1]
[222, 0]
[206, 1]
[211, 0]
[206, 1]
[219, 0]
[170, 1]
[308, 0]
[186, 1]
[171, 0]
[176, 1]
[207, 0]
[215, 1]
[245, 0]
[211, 1]
[1209, 0]
[97, 1]
[1156, 0]
[1309, 0]
[130, 1]
[1183, 0]
[60, 1]
[1071, 0]
[97, 1]
[1166, 0]
[98, 1]
[1030, 0]
[1238, 0]
[53, 1]
[355, 0]
[145, 1]
[371, 0]
[146, 1]
[254, 0]
[189, 1]
[354, 0]
[57, 1]
[353, 0]
[200, 1]
[291, 0]
[104, 1]
[405, 0]
[299, 1]
[375, 0]
[160, 1]
[1058, 0]
[131, 1]
[1202, 0]
[21, 1]
[1169, 0]
[181, 1]
[1202, 0]
[160, 1]
[1227, 0]
[98, 1]
[1202, 0]
[98, 1]
[1221, 0]
[134, 1]
[1206, 0]
[106, 1]
[1210, 0]
[145, 1]
