Listening for IR pulses with DMA precision...
Press Ctrl+C to stop and print results.

Stopping measurement...

--- Results (853 samples) ---
[29837, 1]
[49341, 0]
[3465, 1]
[1586, 0]
[460, 1]
[1219, 0]
[460, 1]
[377, 0]
[460, 1]
[378, 0]
[460, 1]
[378, 0]
[467, 1]
[370, 0]
[487, 1]
[351, 0]
[486, 1]
[353, 0]
[458, 1]
[358, 0]
[484, 1]
[375, 0]
[486, 1]
[351, 0]
[459, 1]
[356, 0]
[482, 1]
[377, 0]
[486, 1]
[1190, 0]
[460, 1]
[379, 0]
[458, 1]
[377, 0]
[460, 1]
[382, 0]
[486, 1]
[349, 0]
[460, 1]
[377, 0]
[459, 1]
[378, 0]
[461, 1]
[377, 0]
[486, 1]
[330, 0]
[483, 1]
[377, 0]
[460, 1]
[378, 0]
[460, 1]
[358, 0]
[509, 1]
[347, 0]
[461, 1]
[355, 0]
[482, 1]
[378, 0]
[460, 1]
[378, 0]
[486, 1]
[351, 0]
[460, 1]
[379, 0]
[459, 1]
[1216, 0]
[459, 1]
[381, 0]
[461, 1]
[1211, 0]
[459, 1]
[1216, 0]
[460, 1]
[1216, 0]
[486, 1]
[1189, 0]
[460, 1]
[1193, 0]
[480, 1]
[1217, 0]
[460, 1]
[378, 0]
[460, 1]
[1218, 0]
[461, 1]
[1211, 0]
[461, 1]
[1215, 0]
[461, 1]
[1214, 0]
[459, 1]
[1216, 0]
[460, 1]
[1215, 0]
[458, 1]
[1217, 0]
[487, 1]
[1189, 0]
[460, 1]
[1219, 0]
[460, 1]
[373, 0]
[460, 1]
[356, 0]
[482, 1]
[356, 0]
[452, 1]
[409, 0]
[459, 1]
[356, 0]
[509, 1]
[329, 0]
[481, 1]
[378, 0]
[460, 1]
[381, 0]
[460, 1]
[374, 0]
[460, 1]
[378, 0]
[429, 1]
[1245, 0]
[460, 1]
[1193, 0]
[483, 1]
[379, 0]
[460, 1]
[376, 0]
[460, 1]
[1215, 0]
[460, 1]
[1219, 0]
[461, 1]
[1211, 0]
[459, 1]
[1216, 0]
[460, 1]
[378, 0]
[486, 1]
[352, 0]
[460, 1]
[1216, 0]
[459, 1]
[1215, 0]
[461, 1]
[378, 0]
[459, 1]
[359, 0]
[453, 1]
[402, 0]
[461, 1]
[1215, 0]
[460, 1]
[378, 0]
[460, 1]
[378, 0]
[460, 1]
[1215, 0]
[460, 1]
[378, 0]
[459, 1]
[379, 0]
[460, 1]
[1218, 0]
[458, 1]
[1214, 0]
[459, 1]
[378, 0]
[459, 1]
[1216, 0]
[460, 1]
[1215, 0]
[459, 1]
[380, 0]
[460, 1]
[1215, 0]
[487, 1]
[1188, 0]
[460, 1]
[381, 0]
[461, 1]
[1211, 0]
[459, 1]
[1194, 0]
[482, 1]
[378, 0]
[461, 1]
[377, 0]
[460, 1]
[1215, 0]
[459, 1]
[378, 0]
[460, 1]
[378, 0]
[459, 1]
[382, 0]
[459, 1]
[375, 0]
[460, 1]
[356, 0]
[482, 1]
[1215, 0]
[460, 1]
[1215, 0]
[460, 1]
[378, 0]
[459, 1]
[1192, 0]
[484, 1]
[1215, 0]
[459, 1]
[1220, 0]
[460, 1]
[375, 0]
[460, 1]
[377, 0]
[459, 1]
[1193, 0]
[483, 1]
[1215, 0]
[460, 1]
[1215, 0]
[460, 1]
[378, 0]
[461, 1]
[1215, 0]
[460, 1]
[357, 0]
[485, 1]
[1210, 0]
[459, 1]
[1216, 0]
[459, 1]
[358, 0]
[481, 1]
[355, 0]
[484, 1]
[377, 0]
[461, 1]
[1214, 0]
[429, 1]
[409, 0]
[459, 1]
[1220, 0]
[461, 1]
[351, 0]
[480, 1]
[355, 0]
[484, 1]
[378, 0]
[460, 1]
[377, 0]
[460, 1]
[379, 0]
[459, 1]
[378, 0]
[460, 1]
[378, 0]
[459, 1]
[360, 0]
[481, 1]
[1212, 0]
[461, 1]
[1214, 0]
[461, 1]
[1215, 0]
[460, 1]
[1214, 0]
[461, 1]
[1216, 0]
[460, 1]
[1215, 0]
[459, 1]
[1216, 0]
[460, 1]
[1219, 0]
[459, 1]
[374, 0]
[461, 1]
[355, 0]
[482, 1]
[378, 0]
[486, 1]
[352, 0]
[486, 1]
[351, 0]
[460, 1]
[378, 0]
[460, 1]
[377, 0]
[459, 1]
[383, 0]
[460, 1]
[1211, 0]
[458, 1]
[1218, 0]
[460, 1]
[1193, 0]
[508, 1]
[1188, 0]
[461, 1]
[1215, 0]
[459, 1]
[1217, 0]
[457, 1]
[1218, 0]
[460, 1]
[1219, 0]
[458, 1]
[376, 0]
[458, 1]
[379, 0]
[459, 1]
[380, 0]
[457, 1]
[356, 0]
[481, 1]
[381, 0]
[428, 1]
[408, 0]
[429, 1]
[409, 0]
[459, 1]
[382, 0]
[458, 1]
[1214, 0]
[428, 1]
[1247, 0]
[459, 1]
[1217, 0]
[458, 1]
[1217, 0]
[457, 1]
[1197, 0]
[478, 1]
[1218, 0]
[458, 1]
[1218, 0]
[456, 1]
[1222, 0]
[456, 1]
[379, 0]
[426, 1]
[411, 0]
[457, 1]
[381, 0]
[456, 1]
[382, 0]
[456, 1]
[359, 0]
[471, 1]
[389, 0]
[426, 1]
[411, 0]
[428, 1]
[413, 0]
[428, 1]
[1244, 0]
[457, 1]
[1219, 0]
[428, 1]
[1246, 0]
[458, 1]
[1219, 0]
[485, 1]
[1189, 0]
[458, 1]
[1217, 0]
[460, 1]
[1192, 0]
[482, 1]
[1221, 0]
[458, 1]
[375, 0]
[460, 1]
[378, 0]
[458, 1]
[381, 0]
